Texto,Sentimiento
Excelente trabajo realizado,true
La aplicación funciona perfectamente,true
El sistema es muy rápido,true
Me encanta esta plataforma,true
La tarea fue completada correctamente,true
Todo funciona muy bien,true
Muy buen resultado,true
El proyecto quedó excelente,true
El sistema tiene muchos errores,false
La aplicación falla constantemente,false
No funciona correctamente,false
El resultado es terrible,false
La tarea quedó mal,false
Hay demasiados problemas,false
El sistema está roto,false
La experiencia fue muy mala,false
